pulls,success_probability,is_current
0,0.0000000000,0
1,0.0000000000,0
2,0.0000000000,0
3,0.0000000000,0
4,0.0000000234,0
5,0.0000001162,0
6,0.0000003463,0
7,0.0000008024,0
8,0.0000015934,0
9,0.0000028472,0
10,0.0000048814,0
11,0.0000084683,0
12,0.0000147070,0
13,0.0000248420,0
14,0.0000401396,0
15,0.0000618832,0
16,0.0000913694,0
17,0.0001321217,0
18,0.0001905925,0
19,0.0002742530,0
20,0.0003889115,0
21,0.0005378995,0
22,0.0007238173,0
23,0.0009492259,0
24,0.0012237815,0
25,0.0015720260,0
26,0.0020189356,0
27,0.0025644711,0
28,0.0031957838,0
29,0.0039096951,0
30,0.0047089157,0
31,0.0055956383,0
32,0.0066237314,0
33,0.0078472815,0
34,0.0092205200,0
35,0.0106961689,0
36,0.0122913437,0
37,0.0140184315,0
38,0.0158703517,0
39,0.0178439448,0
40,0.0199737127,0
41,0.0223352612,0
42,0.0249471311,0
43,0.0277270838,0
44,0.0306023615,0
45,0.0335805254,0
46,0.0366929279,0
47,0.0399476912,0
48,0.0433563941,0
49,0.0469638082,0
50,0.0508134261,0
51,0.0548874613,0
52,0.0591142476,0
53,0.0634388824,0
54,0.0678607388,0
55,0.0724035824,0
56,0.0770856017,0
57,0.0819281537,0
58,0.0869592030,0
59,0.0921882847,0
60,0.0975903201,0
61,0.1031209480,0
62,0.1087451336,0
63,0.1144538049,0
64,0.1202592443,0
65,0.1261817593,0
66,0.1322405666,0
67,0.1384458824,0
68,0.1447923832,0
69,0.1512608004,0
70,0.1578257887,0
71,0.1644653431,0
72,0.1711697690,0
73,0.1779446729,0
74,0.1848039151,0
75,0.1917581800,0
76,0.1988084397,0
77,0.2059468628,0
78,0.2131607111,0
79,0.2204353872,0
80,0.2277576192,0
81,0.2351200895,0
82,0.2425239780,0
83,0.2499753049,0
84,0.2574779598,0
85,0.2650301362,0
86,0.2726256247,0
87,0.2802562747,0
88,0.2879134114,0
89,0.2955891670,0
90,0.3032784557,1
91,0.3109800086,0
92,0.3186947982,0
93,0.3264230515,0
94,0.3341625724,0
95,0.3419091261,0
96,0.3496575533,0
97,0.3574025986,0
98,0.3651395398,0
99,0.3728647940,0
100,0.3805761768,0
101,0.3882724624,0
102,0.3959524577,0
103,0.4036142568,0
104,0.4112551236,0
105,0.4188718641,0
106,0.4264612753,0
107,0.4340204197,0
108,0.4415467367,0
109,0.4490381027,0
110,0.4564928309,0
111,0.4639094977,0
112,0.4712866324,0
113,0.4786225161,0
114,0.4859152366,0
115,0.4931628653,0
116,0.5003635551,0
117,0.5075155510,0
118,0.5146172305,0
119,0.5216671965,0
120,0.5286642995,0
121,0.5356075273,0
122,0.5424958639,0
123,0.5493282389,0
124,0.5561035557,0
125,0.5628207188,0
126,0.5694786458,0
127,0.5760763088,0
128,0.5826128089,0
129,0.5890874224,0
130,0.5954995711,0
131,0.6018487452,0
132,0.6081344409,0
133,0.6143561360,0
134,0.6205132934,0
135,0.6266053779,0
136,0.6326318895,0
137,0.6385924070,0
138,0.6444866197,0
139,0.6503143248,0
140,0.6560753897,0
141,0.6617697067,0
142,0.6673971637,0
143,0.6729576411,0
144,0.6784510242,0
145,0.6838772247,0
146,0.6892362037,0
147,0.6945279888,0
148,0.6997526763,0
149,0.7049104145,0
150,0.7100013779,0
151,0.7150257465,0
152,0.7199837017,0
153,0.7248754322,0
154,0.7297011460,0
155,0.7344610814,0
156,0.7391555152,0
157,0.7437847648,0
158,0.7483491806,0
159,0.7528491339,0
160,0.7572850053,0
161,0.7616571808,0
162,0.7659660536,0
163,0.7702120297,0
164,0.7743955324,0
165,0.7785170067,0
166,0.7825769193,0
167,0.7865757563,0
168,0.7905140179,0
169,0.7943922124,0
170,0.7982108536,0
171,0.8019704606,0
172,0.8056715596,0
173,0.8093146858,0
174,0.8129003849,0
175,0.8164292136,0
176,0.8199017382,0
177,0.8233185329,0
178,0.8266801772,0
179,0.8299872535,0
180,0.8332403471,0
181,0.8364400460,0
182,0.8395869414,0
183,0.8426816284,0
184,0.8457247062,0
185,0.8487167773,0
186,0.8516584473,0
187,0.8545503236,0
188,0.8573930139,0
189,0.8601871260,0
190,0.8629332673,0
191,0.8656320444,0
192,0.8682840638,0
193,0.8708899318,0
194,0.8734502541,0
195,0.8759656359,0
196,0.8784366809,0
197,0.8808639914,0
198,0.8832481670,0
199,0.8855898048,0
200,0.8878894988,0
